Date,Description,Amount
20210625,Accrued Interest Paid NRZ 6 1/4 10/15/25,-128.47
20210628,Accrued Interest Paid NAVI 5 1/2 03/15/30,-27.5
20210630,Accrued Interest Paid RAGHSA 7 1/4 03/21/24,-81.36
20210707,Accrued Interest Paid CYH 6 7/8 04/01/28,-37.43
20210708,Accrued Interest Paid PEMEX 4 7/8 01/24/22,-455
20210709,Bond Coupon Payment DAVIVI 5 7/8 07/09/22,1145.63
20210712,Accrued Interest Paid NRZ 6 1/4 10/15/25,-154.51
20210720,Bond Coupon Payment CREAL 7 1/4 07/20/23 7AA4,1450
20210724,Bond Coupon Payment PEMEX 4 7/8 01/24/22 QBB7,487.5
20210727,Accrued Interest Paid PEMEX 6.84 01/23/30,-11.4
20210727,Accrued Interest Paid NAVI 6.35 09/15/31,-24.69
20210727,Accrued Interest Paid NRZ 6 1/4 10/15/25,-72.22
20210730,Bond Coupon Payment GNBSUD 7 1/2 07/30/22 VAA0,1687.5
20210811,Accrued Interest Paid CYH 6 7/8 04/01/28,-151.25
20210816,Bond Coupon Payment NAVI 6.35 09/15/31,52.92
20210914,Accrued Interest Received PEMEX 6.84 01/23/30,100.7
20210915,Bond Coupon Payment NAVI 6.35 09/15/31,52.92
20210915,Bond Coupon Payment NAVI 5 1/2 03/15/30,165
20210921,Bond Coupon Payment RAGHSA 7 1/4 03/21/24,145
20210929,Accrued Interest Received PEMEX 4 7/8 01/24/22,181.46
20210929,Accrued Interest Received NAVI 6.35 09/15/31,28.22
20211001,Bond Coupon Payment CYH 6 7/8 04/01/28 7AP3,275
20211005,Accrued Interest Received NAVI 5 1/2 03/15/30,40.33
20211015,Bond Coupon Payment NRZ 6 1/4 10/15/25 8AA3,750
20211016,Bond Coupon Payment GNBSUD 7 1/2 04/16/31,1837.5
20211201,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,1179.38
20211227,Accrued Interest Received RAGHSA 7 1/4 03/21/24,78.94
20211227,Accrued Interest Received GNBSUD 7 1/2 07/30/22,1396.88
20211229,Accrued Interest Received NRZ 6 1/4 10/15/25,65.97
20220103,Accrued Interest Received NRZ 6 1/4 10/15/25,69.44
20220104,Accrued Interest Received NRZ 6 1/4 10/15/25,196.88
20220105,HKD Debit Interest Paid for December 2021,-0.0025652
20220109,Bond Coupon Payment DAVIVI 5 7/8 07/09/22,1145.63
20220120,Bond Coupon Payment CREAL 7 1/4 07/20/23 7AA4,1450
20220203,HKD Debit Interest Paid for January 2022,-0.0076992
20220329,Accrued Interest Received CYH 6 7/8 04/01/28,275
20220416,Bond Coupon Payment GNBSUD 7 1/2 04/16/31,1837.5
20220601,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,1129.84
20220603,USD Credit Interest Received for May 2022,29.95
20220706,EUR Debit Interest Paid for June 2022,-0.549828
20220706,USD Credit Interest Received for June 2022,43.73
20220709,Bond Coupon Payment DAVIVI 5 7/8 07/09/22,1145.63
20220803,EUR Debit Interest Paid for July 2022,-3.477114
20220803,USD Credit Interest Received for July 2022,79.36
20220906,USD Credit Interest Received for August 2022,137.59
20221005,USD Credit Interest Received for September 2022,130.74
20221016,Bond Coupon Payment GNBSUD 7 1/2 04/16/31,1837.5
20221103,USD Credit Interest Received for October 2022,134.96
20221201,Bond Coupon Payment HNTOIL 6 3/8 06/01/28,1080.31
20221205,USD Credit Interest Received for November 2022,112.26
20230105,USD Credit Interest Received for December 2022,121.09
20230203,USD Credit Interest Received for January 2023,195.04
20230303,USD Credit Interest Received for February 2023,180.55
20230405,USD Credit Interest Received for March 2023,147.81
20230416,Bond Coupon Payment GNBSUD 7 1/2 04/16/31,1837.5
20230503,USD Credit Interest Received for April 2023,35.83
20230503,USD Debit Interest Paid for April 2023,-10.09
20230706,USD Credit Interest Received for June 2023,33.33
20230803,USD Credit Interest Received for July 2023,85.38
20241105,USD Debit Interest Paid for October 2024,-1.82
20250505,USD Debit Interest Paid for April 2025,-0.6
20260106,USD Credit Interest Received for December 2025,64.57
